,completeness,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g
911,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,0.3,377.0,1577.0,22.7000007629395,12.289999961853,2.40000009536743,0.200000002980232,40.5,0.0,0.0
913,0.375,377.0,1577.0,22.7,12.29,2.4,0.2,40.5,3.85,1.54
914,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,0.475,171.0,715.0,12.0,6.8,3.5,1.4,12.0,1.6,0.64
917,0.3,1630.0,6820.0,7.5,2.5,66.0,22.2999992370605,9.60000038146973,0.0,0.0
918,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,0.475,377.0,1577.0,22.7,12.29,2.4,0.2,40.5,0.25,0.1
920,0.5,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.75,0.3
921,0.5,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.01,0.004
922,0.4,0.0,0.0,0.0,0.0,53.33,0.0,0.0,0.0,0.0
923,0.375,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,0.4
924,0.4,267.0,1117.0,0.0,0.0,60.0,0.0,66.67,0.33782,0.135128
925,0.5,0.0,0.0,0.0,0.0,60.0,0.0,66.67,0.33782,0.135128
926,0.5,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0
927,0.5,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0
928,0.5,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0
929,0.4,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0
930,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
931,0.5,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0
932,0.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
933,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
934,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
935,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
937,0.2,357.142857142857,1494.0,21.4285714285714,0.0,39.2857142857143,0.0,7.14285714285714,0.0,0.0
938,0.275,120.0,502.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
